[05:09:24 - main] [Cooja.java:3181] [WARN] - JAVA_HOME environment variable not set, Cooja motes may not compile
[05:09:25 - AWT-EventQueue-0] [Cooja.java:2865] [INFO] - External tools default settings: /external_tools_linux_64.config
[05:09:25 - AWT-EventQueue-0] [Cooja.java:2895] [INFO] - External tools user settings: /home/musa/.cooja.user.properties
[05:09:30 - Thread-0] [Simulation.java:420] [INFO] - Simulation random seed: 123456
[05:09:30 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/controller-node.sky
[05:09:30 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/sink-node.sky
[05:09:30 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:30 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/musa/Dropbox/PhD/SDNMMV2-1/simulation/../applications/enabled-node.sky
[05:09:31 - Thread-0] [Visualizer.java:256] [INFO] - Registered external visualizer: org.contikios.cooja.plugins.skins.DGRMVisualizerSkin
[05:09:31 - Thread-0] [TimeLine.java:567] [INFO] - Zoom level: 500.0 microseconds/pixel 
[05:09:31 - Thread-0] [SerialSocketServer.java:389] [INFO] - Listening on port: 60001
[05:09:53 - Thread-1] [SerialSocketServer.java:429] [INFO] - Listening thread shut down: Socket closed
